"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 05 20:24:26 MSK 2022","Wed Oct 05 20:24:33 MSK 2022","7051","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithOneDigitInCvc","shouldNotBuyInCreditWithOneDigitInCvc()",""
"broken","Wed Oct 05 20:28:31 MSK 2022","Wed Oct 05 20:28:37 MSK 2022","5758","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldBuyInPaymentWithNameInRussianLetters","shouldBuyInPaymentWithNameInRussianLetters()",""
"failed","Wed Oct 05 20:24:33 MSK 2022","Wed Oct 05 20:24:40 MSK 2022","6403","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithAllEmptyFields","shouldNotBuyInCreditWithAllEmptyFields()",""
"passed","Wed Oct 05 20:26:51 MSK 2022","Wed Oct 05 20:26:53 MSK 2022","2201","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithEmptyCvc","shouldNotBuyInPaymentWithEmptyCvc()",""
"failed","Wed Oct 05 20:25:23 MSK 2022","Wed Oct 05 20:25:29 MSK 2022","6591","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithEmptyMonth","shouldNotBuyInCreditWithEmptyMonth()",""
"failed","Wed Oct 05 20:25:05 MSK 2022","Wed Oct 05 20:25:12 MSK 2022","6741","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithTwoDigitsInCvc","shouldNotBuyInCreditWithTwoDigitsInCvc()",""
"failed","Wed Oct 05 20:27:39 MSK 2022","Wed Oct 05 20:27:45 MSK 2022","6525","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithInvalidMonth","shouldNotBuyInPaymentWithInvalidMonth()",""
"passed","Wed Oct 05 20:26:42 MSK 2022","Wed Oct 05 20:26:44 MSK 2022","2113","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithNonExistingMonth","shouldNotBuyInPaymentWithNonExistingMonth()",""
"passed","Wed Oct 05 20:28:16 MSK 2022","Wed Oct 05 20:28:18 MSK 2022","1932","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithEmptyName","shouldNotBuyInPaymentWithEmptyName()",""
"broken","Wed Oct 05 20:26:11 MSK 2022","Wed Oct 05 20:26:19 MSK 2022","7214","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldBuyInCreditWithNameInRussianLetters","shouldBuyInCreditWithNameInRussianLetters()",""
